model_name,model_params,fit_time_mean,fit_time_std,r2_train_mean,r2_train_std,mae_train_mean,mae_train_std,rmse_train_mean,rmse_train_std,mape_train_mean,mape_train_std,r2_test_mean,r2_test_std,mae_test_mean,mae_test_std,rmse_test_mean,rmse_test_std,mape_test_mean,mape_test_std,r2_val,mae_val,rmse_val,mape_val
SVR,"{'C': 9, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.35, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.09762144088745117,0.015409788567933349,0.9268247988830073,0.006680114605083707,13.717090590768308,0.7888763980836035,21.2430473637886,1.2672825870025015,4.078805558939629,0.22701321958363144,0.8195209655274038,0.034600557217101646,21.771050392724845,3.7856192734969,31.068706805907077,4.611328368028213,6.522734575228016,1.0372547344803724,0.8840247360026203,17.919536449495478,27.3128153762093,5.213742126479646
GBR,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 9, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 45, 'min_samples_split': 30, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 80, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.21816730499267578,0.03475546344273911,0.9183407260264769,0.006212307087477296,16.130179249331,0.9214684974003851,22.441929492553992,1.070334541893996,4.7243138791116674,0.2770371323374195,0.7931359969113695,0.051786667583904,24.07401913015572,4.212443641881022,33.029977889842584,5.039687003535555,7.092634641819342,1.1801262022172265,0.8380492273871145,23.610133239041254,32.2756722202334,6.7608701700476725
KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.00010094642639160156,0.00022572307149729988,0.9130951327736077,0.003279988724738123,15.927784583197214,0.7354557872106053,23.1590309854725,0.6897919780912483,4.601650274973594,0.18467432802074374,0.7650995125061795,0.05299417704384853,24.835185816331954,4.4402184567736755,35.26301334856031,5.104609003777083,7.34249435142682,1.131107659339686,0.8015554142116397,25.3086260801444,35.72756445487591,6.97220390028926
RFR,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 4, 'max_features': 8, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 65, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.7245890140533447,0.9362231291230912,0.8430192631186977,0.0069508250945011715,22.55603356741036,1.0007430753352737,31.124301891946896,0.9918503043895479,6.540190541817525,0.27787396753802324,0.7462579417259781,0.05254285941158027,27.061491397303804,5.021285677284653,36.72453529594257,5.408299986151018,8.022826009112881,1.3842520361956392,0.7318339048840325,30.19786627855354,41.53227473667305,8.617808201925214
MLR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}",0.02328500747680664,0.040903618084687114,0.6992669612033919,0.006359541775114265,34.29702998986325,0.7850061759635159,43.0796949922386,0.7620710334106751,9.844043879091453,0.18455012059523548,0.6134475952174607,0.036215991179132434,36.29447386013625,2.1845297355678057,45.392231265110965,2.894358494936,10.481010077377494,0.5014393666291138,0.650589759153136,38.0428179602888,47.407996158504595,10.936869524319984
