model_name,model_params,fit_time_mean,fit_time_std,r2_train_mean,r2_train_std,mae_train_mean,mae_train_std,rmse_train_mean,rmse_train_std,mape_train_mean,mape_train_std,r2_test_mean,r2_test_std,mae_test_mean,mae_test_std,rmse_test_mean,rmse_test_std,mape_test_mean,mape_test_std,r2_val,mae_val,rmse_val,mape_val
SVR,"{'C': 9, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.35, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.12209029197692871,0.034427017683323236,0.9306840856239222,0.006259480604985652,13.114375471338523,0.8995500090598711,20.677285771683803,1.2546733806822554,3.8741959512955786,0.26198412782043873,0.825992112470205,0.029706715976360504,20.87863753760937,4.126159870568583,30.58393128470042,4.771753081721913,6.192679980244089,1.100659277970167,0.8540877215454555,19.458189696180668,30.635833724501847,5.571303227941369
GBR,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 9, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 45, 'min_samples_split': 30, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 80, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.21907334327697753,0.03029535379145659,0.9201892392253731,0.005848318789317605,15.725755807427182,1.0067149964110107,22.18928764550435,1.0841828113205778,4.615116500975105,0.28999242126176494,0.8046611837317371,0.03725781375676829,22.789958413456223,4.623092187079609,32.2875504275673,4.705007464988945,6.7678011751181995,1.2754405126474329,0.7922882728815834,25.20380505416637,36.55226491343667,7.245235247173663
KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.0002063751220703125,0.00046146880181403583,0.9137541002459881,0.006790259090689001,15.767488837454655,0.8814887599664745,23.060682925231724,1.078345771751774,4.5229067505688585,0.2385698912097516,0.758558075396776,0.06338712154296071,24.90049688345577,4.991846577177371,35.68643619474973,5.768517060567536,7.317210426215999,1.3569924322852223,0.7884865755968782,24.74419401083033,36.88525179036914,6.790490907502536
RFR,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 4, 'max_features': 8, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 65, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.24938950538635254,0.09787383044566857,0.837102133907683,0.011695330782263582,22.891352558007533,1.3688520200478513,31.703670369474924,1.5774097792344475,6.640658853718035,0.3802651630778764,0.7540860203855594,0.03409136358826339,26.705675346478166,4.603565894560016,36.32685658832402,4.890444131403132,7.931795842687474,1.2620071675654672,0.6867247561990225,31.388348334125993,44.88971235072918,8.977363705215426
MLR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}",0.03531827926635742,0.04155583932324592,0.7259806884129271,0.009601323314417733,31.766539872281903,1.1472326956841308,41.12166685046297,1.080419199944372,9.114403316476833,0.29755482397358424,0.6421533859747344,0.04549489083452806,33.47257719497545,3.460215371600794,43.7413801708973,4.642526011493744,9.715709220183033,0.8556743178102636,0.6436858006396482,36.60775658844765,47.87406983607362,10.468129759334845
