Component_1,Smiles_1,Component_2,Smiles_2,T_EP,X_1,Charge#1,Surf_charge#1,Dipol#1,Moment_HBacc#1,Moment_HBdon#1,Moment_sig2#1,Moment_sig3#1,Moment_sig4#1,Moment_sig5#1,Moment_sig6#1,Charge#2,Surf_charge#2,Dipol#2,Moment_HBacc#2,Moment_HBdon#2,Moment_sig2#2,Moment_sig3#2,Moment_sig4#2,Moment_sig5#2,Moment_sig6#2,mu_c0#1,log10_c0#1,FreeE_c0#1,H_int_c0#1,H_MF_c0#1,H_HB_c0#1,H_vdW_c0#1,mu_c0#2,log10_c0#2,FreeE_c0#2,H_int_c0#2,H_MF_c0#2,H_HB_c0#2,H_vdW_c0#2,mu_c1#1,log10_c1#1,FreeE_c1#1,H_int_c1#1,H_MF_c1#1,H_HB_c1#1,H_vdW_c1#1,mu_c1#2,log10_c1#2,FreeE_c1#2,H_int_c1#2,H_MF_c1#2,H_HB_c1#2,H_vdW_c1#2
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],529.0,0.15,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],494.0,0.2,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],457.0,0.3,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],420.0,0.35,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],420.0,0.4,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],430.0,0.45,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],429.0,0.5,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],437.0,0.55,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],446.0,0.7,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],459.0,0.8,0.00583,2.6224768668751573e-05,17.5959,19.51318,0.03823,159.08996,166.04525,373.33308,590.20324,1108.51355,0.00928,5.241468169122974e-05,18.3247,15.03954,0.22904,171.97445,120.10604,311.40097,376.89066,713.98177,6.05297,-1.10976,-546026.18509,2.24588,11.14427,-0.40874,-8.48965,5.06388,-4.22914,-495305.94535,-0.29905,8.53187,-0.83648,-7.99444,4.64422,-3.54611,-546027.59383,-0.70405,9.94744,-0.55486,-10.09664,5.74815,-1.9424,-495305.26108,1.34719,8.54801,-0.4999,-6.70093
