features,MIC_1,MIC_2,MIC_3,MIC_4,MIC_5,MIC_sum,MIC
X#1,0.2529071557947609,0.24102659934095175,0.262155758915452,0.2402863610098637,0.2867892983694915,0.256633034686104,True
T#1,0.34480415233813644,0.375939032343929,0.3703167907813706,0.3831996382873773,0.3608402355870237,0.3670199698675674,True
T#2,0.3877105896919561,0.36023076159264156,0.369653948094273,0.35697789810876374,0.3399346390908256,0.362901567315692,True
NumAliphaticCarbocycles#1,0.14048414483155572,0.14413207152096252,0.1413336509164446,0.1367416422725637,0.13789622698572274,0.14011754730544984,False
NumAliphaticCarbocycles#2,0.14493787211202142,0.12654881795886802,0.13208108314779105,0.1404406572133225,0.12556379080502342,0.13391444424740528,False
NumAliphaticHeterocycles#1,0.15089456818164398,0.12295744695742049,0.12688143470526103,0.12978317585842583,0.12890640427566685,0.13188460599568366,False
NumAliphaticHeterocycles#2,0.008492295654959044,0.009350518850923561,0.0,0.0,0.009094081481449865,0.005387379197466494,False
NumAromaticCarbocycles#1,0.14551945875821817,0.1218996421451939,0.13876394131642286,0.13672747971895582,0.13290206785649514,0.13516251795905718,False
NumAromaticCarbocycles#2,0.20617412146192643,0.22335424982778726,0.20098704116431756,0.18182287987809417,0.21194740955602814,0.2048571403776307,True
NumAromaticHeterocycles#1,0.12635925674812457,0.12493907497027842,0.12489931915397033,0.11582850688109203,0.12084904506058616,0.1225750405628103,False
NumAromaticHeterocycles#2,0.01828952002092531,0.019527933555500872,0.012085778648975967,0.0,0.018987902188936742,0.013778226882867778,False
NumHAcceptors#1,0.19662552482847254,0.21261979935505543,0.17641991177000407,0.2049689006688686,0.1712287418807989,0.1923725757006399,False
NumHAcceptors#2,0.15895583693389287,0.16220132936666867,0.1806074816274067,0.1571349824648595,0.1682730067854313,0.16543452743565182,False
NumHDonors#1,0.2356644753119865,0.22395718260281927,0.23296241420487604,0.21731929184617138,0.20815143273477307,0.22361095934012526,True
NumHDonors#2,0.16745709394167815,0.1499475186059773,0.16548211850780645,0.15742075427122051,0.15126886848952742,0.15831527076324195,False
NumHeteroatoms#1,0.21671535019957242,0.18766594978575293,0.1855149007602425,0.18583235142699406,0.17153996055607384,0.18945370254572716,False
NumHeteroatoms#2,0.255044982691939,0.23740872107528446,0.22481138672437417,0.22773662860570731,0.2213579191001892,0.23327192763949883,True
MaxPartialCharge#1,0.30887572514724915,0.29244492052655563,0.3094918311193653,0.31025058067700895,0.292405773723235,0.30269376623868277,True
MaxPartialCharge#2,0.347370026116233,0.36508568173883393,0.36353285363402943,0.33816211636657206,0.3185012837785239,0.34653039232683847,True
MinPartialCharge#1,0.2500057637991108,0.2519308938397325,0.26061755050390895,0.25636665699827016,0.23562373836279138,0.25090892070076276,True
MinPartialCharge#2,0.32209451400475453,0.26957485164529965,0.260252186345274,0.23822990008392647,0.23602048736680226,0.2652343878892114,True
BalabanJ#1,0.3079629159086958,0.3308311908097409,0.3184550831543123,0.31546299900127744,0.30673638762792454,0.3158897153003902,True
BalabanJ#2,0.3166357671485206,0.2801132979332465,0.270207372750747,0.24287205052157942,0.24115379380175495,0.2701964564311697,True
fr_NH0#1,0.18713640819871735,0.22118107078323676,0.18087095712519893,0.20239484108163713,0.16861360524903063,0.19203937648756417,False
fr_NH0#2,0.3352079571184309,0.31628617166145095,0.2770357380653369,0.2828692100503611,0.27643101740977144,0.29756601886107026,True
fr_NH1#1,0.10766037408444075,0.10571591129565638,0.11765220542540798,0.11873539944274628,0.11906658351000525,0.11376609475165131,False
fr_NH1#2,0.0858643488811738,0.11066712952974778,0.11422884919425023,0.07655546328952305,0.09127617945722798,0.09571839407038457,False
fr_NH2#1,0.11099983453549855,0.12372758546495023,0.11636560133100236,0.12731311867080938,0.11886442266563192,0.11945411253357849,False
fr_NH2#2,0.0605294095411369,0.05842769772331025,0.05929709030574649,0.0690765358449404,0.06111130357347564,0.061688407397721946,False
fr_Ndealkylation1#1,0.11125031640866445,0.1345908546812365,0.12466554661516158,0.1259224730511444,0.12609942027741877,0.12450572220672514,False
fr_Ndealkylation1#2,0.2755692809189098,0.2481358879179669,0.21936071053848405,0.23970922496589475,0.23940452269824117,0.24443592540789932,True
fr_amide#1,0.11862007394425886,0.11188959909115705,0.1238591349891443,0.12464675617640544,0.12725606803041342,0.12125432644627583,False
fr_amide#2,0.0605294095411369,0.06821206678205612,0.0760957131209599,0.07878511769309049,0.07062534845691854,0.07084953111883238,False
fr_halogen#1,0.1945934184283741,0.22596091015873054,0.1981969983874688,0.2234123654620595,0.18426869010079835,0.20528647650748627,True
fr_halogen#2,0.32220531505773775,0.2697894031172028,0.2526226002586868,0.23822990008392647,0.2373653888588746,0.2640425214752857,True
fr_phenol#1,0.11697882191249191,0.11539565952251701,0.11419807486505418,0.116959583414537,0.12342863308316393,0.1173921545595528,False
fr_phenol#2,0.16565384975006794,0.16234619286085428,0.171182401151487,0.14780936564097233,0.15531475629878155,0.1604613131404326,False
fr_quatN#1,0.194268424845357,0.23653619705320927,0.18742690717001012,0.22701743715647948,0.1925110337085769,0.20755199998672652,True
fr_quatN#2,0.3560053156489976,0.3516867171533859,0.3211797874217541,0.3153151616081575,0.2956032034679166,0.32795803706004234,True
NPR1#1,0.318240724658884,0.3513493450391231,0.3511480222161673,0.3452778334727926,0.3303341215428459,0.3392700093859626,True
NPR1#2,0.3577667376179103,0.36023076159264156,0.36195882810406504,0.3568078605906108,0.3399346390908256,0.35533976539921064,True
